"scenario","analysis_tier","primary_analysis","analysis_reason","analysis_space","trait_set","vector","trait","component"
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D9","head",2.31722091586236
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D9","foreleg",1.78129665461339
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D9","midleg",1.47761473598165
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D9","hindleg",-0.108974293215937
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D9","ear",0.881081405169907
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D9","eye",1.68093416159005
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D10","head",2.93352092075729
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D10","foreleg",2.59079125863998
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D10","midleg",2.33416367411574
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D10","hindleg",0.920000448349427
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D10","ear",1.42157436678598
"standardized_six","sensitivity",FALSE,"Adds head size to test whether inference depends on including the classification-linked weapon trait.","standardized_size_adjusted_SD","six_traits","D10","eye",2.61066520246112
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D8","head",0.37886575009884
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D8","foreleg",0.058501663949774
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D8","midleg",0.0228775885851169
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D8","hindleg",-0.063872719338046
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D8","ear",0.00474284277671244
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D8","eye",0.0979542553381801
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D9","head",0.508467832387612
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D9","foreleg",0.107639731797604
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D9","midleg",0.0725968353707476
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D9","hindleg",-0.00456297915924342
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D9","ear",0.0463694172981736
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D9","eye",0.153968839867623
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D10","head",0.643702554914177
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D10","foreleg",0.15655566157458
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D10","midleg",0.114680025754875
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D10","hindleg",0.0385223225444014
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D10","ear",0.074814398132911
"raw_log_six","sensitivity",FALSE,"Uses unstandardized log traits to test dependence on residual-SD standardization while retaining all six traits.","raw_log_linear_dimensions","six_traits","D10","eye",0.23912958739888
