ID,trait,group,included
ECJN,midleg,Tenth instar,TRUE
ECOO,midleg,Ninth instar,TRUE
EDIK,midleg,Eighth instar,TRUE
EFLR,midleg,Ninth instar,TRUE
EJSA,midleg,Ninth instar,TRUE
EMIY,midleg,Female,TRUE
EMMR,midleg,Tenth instar,TRUE
EWKB,midleg,Ninth instar,TRUE
EXFC,midleg,Eighth instar,TRUE
FDUO,midleg,Female,TRUE
FFVD,midleg,Female,TRUE
FHEO,midleg,Female,TRUE
FJIV,midleg,Ninth instar,TRUE
FKWM,midleg,Eighth instar,TRUE
FLUS,midleg,Female,TRUE
FRAY,midleg,Female,TRUE
FRKH,midleg,Female,TRUE
FXZS,midleg,Ninth instar,TRUE
FYEF,midleg,Female,TRUE
FZRV,midleg,Female,TRUE
GDWH,midleg,Tenth instar,TRUE
GLXO,midleg,Female,TRUE
GMLX,midleg,Eighth instar,TRUE
GRAC,midleg,Ninth instar,TRUE
GRRD,midleg,Female,TRUE
GVKA,midleg,Eighth instar,TRUE
GWYL,midleg,Eighth instar,TRUE
GXQD,midleg,Ninth instar,TRUE
GYFU,midleg,Female,TRUE
HDAF,midleg,Tenth instar,TRUE
HDAI,midleg,Female,TRUE
HDZC,midleg,Tenth instar,TRUE
HEDP,midleg,Eighth instar,TRUE
HIHW,midleg,Eighth instar,TRUE
HKWK,midleg,Eighth instar,TRUE
HNNH,midleg,Female,TRUE
HNUV,midleg,Eighth instar,TRUE
HOHH,midleg,Ninth instar,TRUE
HRBI,midleg,Eighth instar,TRUE
HTCT,midleg,Ninth instar,TRUE
HZFK,midleg,Eighth instar,TRUE
IEAL,midleg,Female,TRUE
IEJY,midleg,Eighth instar,TRUE
IEPT,midleg,Tenth instar,TRUE
IJNE,midleg,Ninth instar,TRUE
ILNB,midleg,Tenth instar,TRUE
INPV,midleg,Female,TRUE
IULK,midleg,Ninth instar,TRUE
IVIQ,midleg,Female,TRUE
IVMB,midleg,Ninth instar,TRUE
JDGM,midleg,Female,TRUE
JDYH,midleg,Ninth instar,TRUE
JHFO,midleg,Female,TRUE
JONV,midleg,Ninth instar,TRUE
JOYH,midleg,Tenth instar,TRUE
JOZD,midleg,Eighth instar,TRUE
JPJS,midleg,Female,TRUE
JPJT,midleg,Female,TRUE
JRYP,midleg,Eighth instar,TRUE
JUCL,midleg,Ninth instar,TRUE
JUGA,midleg,Female,TRUE
JUJH,midleg,Ninth instar,TRUE
JUYN,midleg,Female,TRUE
JXVQ,midleg,Tenth instar,TRUE
JZEI,midleg,Ninth instar,TRUE
JZJE,midleg,Female,TRUE
KAIL,midleg,Ninth instar,TRUE
KAOK,midleg,Female,TRUE
KDQD,midleg,Female,TRUE
KECL,midleg,Female,TRUE
KEHR,midleg,Female,TRUE
KEMO,midleg,Tenth instar,TRUE
KIIU,midleg,Tenth instar,TRUE
KORY,midleg,Eighth instar,TRUE
KPNC,midleg,Female,TRUE
KSLC,midleg,Female,TRUE
KTFS,midleg,Ninth instar,TRUE
KTNC,midleg,Female,TRUE
KVWU,midleg,Female,TRUE
KWNJ,midleg,Female,TRUE
KYRB,midleg,Ninth instar,TRUE
LAZJ,midleg,Ninth instar,TRUE
LEZS,midleg,Eighth instar,TRUE
LGMD,midleg,Female,TRUE
LHWT,midleg,Tenth instar,TRUE
LIHW,midleg,Female,TRUE
LJJN,midleg,Tenth instar,TRUE
LKHO,midleg,Eighth instar,TRUE
LLJC,midleg,Tenth instar,TRUE
LMMX,midleg,Female,TRUE
LNMX,midleg,Female,TRUE
LQLO,midleg,Female,TRUE
LRRL,midleg,Tenth instar,TRUE
LRSS,midleg,Ninth instar,TRUE
LTEN,midleg,Female,TRUE
LUXM,midleg,Female,TRUE
LYTH,midleg,Female,TRUE
MAKB,midleg,Tenth instar,TRUE
MEAE,midleg,Female,TRUE
MEMQ,midleg,Eighth instar,TRUE
MJSX,midleg,Eighth instar,TRUE
MKMF,midleg,Ninth instar,TRUE
MLES,midleg,Female,TRUE
MONY,midleg,Eighth instar,TRUE
MQFA,midleg,Female,TRUE
MTZI,midleg,Female,TRUE
MUVY,midleg,Tenth instar,TRUE
MVOV,midleg,Eighth instar,TRUE
MXAY,midleg,Female,TRUE
MYTW,midleg,Female,TRUE
NACP,midleg,Ninth instar,TRUE
NAPZ,midleg,Ninth instar,TRUE
NBFT,midleg,Ninth instar,TRUE
NDWV,midleg,Ninth instar,TRUE
NFQJ,midleg,Female,TRUE
NFZB,midleg,Female,TRUE
NLMH,midleg,Female,TRUE
NMCP,midleg,Ninth instar,TRUE
NRDG,midleg,Eighth instar,TRUE
NRVV,midleg,Eighth instar,TRUE
NSFR,midleg,Ninth instar,TRUE
NUDB,midleg,Female,TRUE
NVHP,midleg,Eighth instar,TRUE
OCGB,midleg,Female,TRUE
ODLJ,midleg,Eighth instar,TRUE
OHRS,midleg,Female,TRUE
OHZZ,midleg,Eighth instar,TRUE
OLFY,midleg,Female,TRUE
ONAU,midleg,Female,TRUE
OQDA,midleg,Ninth instar,TRUE
OTIL,midleg,Female,TRUE
OVOZ,midleg,Female,TRUE
OWAU,midleg,Ninth instar,TRUE
OZHE,midleg,Female,TRUE
PAQJ,midleg,Ninth instar,TRUE
PBXK,midleg,Eighth instar,TRUE
PFPR,midleg,Eighth instar,TRUE
PIKP,midleg,Tenth instar,TRUE
PMTK,midleg,Eighth instar,TRUE
PQXQ,midleg,Female,TRUE
PTRO,midleg,Female,TRUE
PVUO,midleg,Ninth instar,TRUE
PVXU,midleg,Female,TRUE
PWML,midleg,Eighth instar,TRUE
PXBQ,midleg,Eighth instar,TRUE
PXBW,midleg,Eighth instar,TRUE
PZFT,midleg,Ninth instar,TRUE
PZMO,midleg,Eighth instar,TRUE
PZWX,midleg,Eighth instar,TRUE
QDVU,midleg,Female,TRUE
QDXY,midleg,Ninth instar,TRUE
QIIV,midleg,Eighth instar,TRUE
QMKN,midleg,Female,TRUE
QOGZ,midleg,Female,TRUE
QQJU,midleg,Ninth instar,TRUE
QRKY,midleg,Female,TRUE
QSRM,midleg,Ninth instar,TRUE
QUAR,midleg,Eighth instar,FALSE
QXSG,midleg,Female,TRUE
QYFB,midleg,Female,TRUE
QZHA,midleg,Eighth instar,TRUE
RBAX,midleg,Ninth instar,TRUE
RBFY,midleg,Female,TRUE
RCMK,midleg,Eighth instar,TRUE
RDRL,midleg,Eighth instar,TRUE
RIJE,midleg,Female,TRUE
RIWP,midleg,Ninth instar,TRUE
RJGO,midleg,Female,TRUE
RJVU,midleg,Female,TRUE
RMQE,midleg,Female,TRUE
RNCJ,midleg,Female,TRUE
RNFD,midleg,Female,TRUE
RPNA,midleg,Eighth instar,TRUE
RQME,midleg,Ninth instar,TRUE
RSFE,midleg,Tenth instar,TRUE
RTXD,midleg,Eighth instar,TRUE
RWGW,midleg,Eighth instar,TRUE
SBJV,midleg,Tenth instar,TRUE
SBJVC,midleg,Ninth instar,TRUE
SCBI,midleg,Tenth instar,TRUE
SCXD,midleg,Ninth instar,TRUE
SDBA,midleg,Ninth instar,TRUE
SDVC,midleg,Ninth instar,TRUE
SEVZ,midleg,Female,TRUE
SFBL,midleg,Female,TRUE
SGBK,midleg,Ninth instar,TRUE
SMVB,midleg,Eighth instar,TRUE
SMXT,midleg,Eighth instar,TRUE
SNCY,midleg,Female,TRUE
SNDZ,midleg,Ninth instar,TRUE
SQCA,midleg,Tenth instar,TRUE
SSQG,midleg,Tenth instar,TRUE
SVLP,midleg,Ninth instar,TRUE
SXDN,midleg,Female,TRUE
SYKW,midleg,Tenth instar,TRUE
TABC,midleg,Ninth instar,TRUE
TART,midleg,Female,TRUE
TKBC,midleg,Ninth instar,TRUE
TKSH,midleg,Ninth instar,TRUE
TRCQ,midleg,Female,TRUE
TSNP,midleg,Tenth instar,TRUE
TSPY,midleg,Female,TRUE
TWQN,midleg,Eighth instar,TRUE
TYRB,midleg,Eighth instar,TRUE
UCYK,midleg,Female,TRUE
UHRS,midleg,Ninth instar,TRUE
UKOQ,midleg,Tenth instar,TRUE
ULBD,midleg,Ninth instar,TRUE
UMXA,midleg,Female,TRUE
UNBX,midleg,Eighth instar,TRUE
UPBJ,midleg,Female,TRUE
UQVJ,midleg,Ninth instar,TRUE
UWVR,midleg,Female,TRUE
UYSP,midleg,Tenth instar,TRUE
VDBS,midleg,Female,TRUE
VDVI,midleg,Tenth instar,TRUE
VECM,midleg,Ninth instar,TRUE
VFCQ,midleg,Eighth instar,TRUE
VFPH,midleg,Ninth instar,TRUE
VGLK,midleg,Ninth instar,TRUE
VHBT,midleg,Tenth instar,TRUE
VJOC,midleg,Female,TRUE
VJTT,midleg,Female,TRUE
VNSP,midleg,Eighth instar,TRUE
VNVH,midleg,Female,TRUE
VUNA,midleg,Female,TRUE
WDBI,midleg,Ninth instar,TRUE
WHQS,midleg,Female,TRUE
WHVM,midleg,Tenth instar,TRUE
WJST,midleg,Female,TRUE
WKXK,midleg,Ninth instar,TRUE
WNVZ,midleg,Ninth instar,TRUE
WQOI,midleg,Ninth instar,TRUE
WQRK,midleg,Ninth instar,TRUE
WSXA,midleg,Eighth instar,TRUE
WWFJ,midleg,Eighth instar,TRUE
WYMS,midleg,Eighth instar,TRUE
XDBU,midleg,Female,TRUE
XKES,midleg,Female,TRUE
XMEN,midleg,Eighth instar,TRUE
XNIH,midleg,Female,TRUE
XOAF,midleg,Ninth instar,TRUE
XQBJ,midleg,Tenth instar,TRUE
XQHC,midleg,Ninth instar,TRUE
XRPL,midleg,Eighth instar,TRUE
XVQB,midleg,Ninth instar,TRUE
XWCJ,midleg,Eighth instar,TRUE
YAKT,midleg,Eighth instar,TRUE
YBYC,midleg,Ninth instar,TRUE
YCTD,midleg,Eighth instar,TRUE
YFAT,midleg,Female,TRUE
YGFO,midleg,Eighth instar,TRUE
YMRF,midleg,Eighth instar,TRUE
YNBA,midleg,Ninth instar,TRUE
YNFN,midleg,Female,TRUE
YNZS,midleg,Female,TRUE
YRUA,midleg,Female,TRUE
YRUH,midleg,Female,TRUE
YSQQ,midleg,Eighth instar,TRUE
YUWR,midleg,Eighth instar,TRUE
YYNS,midleg,Female,TRUE
YZUH,midleg,Eighth instar,TRUE
ZAQJ,midleg,Eighth instar,TRUE
ZAVH,midleg,Eighth instar,TRUE
ZFKD,midleg,Eighth instar,TRUE
ZFXN,midleg,Ninth instar,TRUE
ZIER,midleg,Tenth instar,TRUE
ZRDE,midleg,Ninth instar,TRUE
ZSUF,midleg,Eighth instar,TRUE
ZVNV,midleg,Ninth instar,TRUE
ZWYP,midleg,Female,TRUE
ACGN,hindleg,Female,TRUE
ACIU,hindleg,Female,TRUE
AGNG,hindleg,Female,TRUE
AIZJ,hindleg,Female,TRUE
AKPI,hindleg,Tenth instar,TRUE
AQZC,hindleg,Eighth instar,TRUE
ASOK,hindleg,Female,TRUE
ATEZ,hindleg,Female,TRUE
AZJJ,hindleg,Female,TRUE
BBRM,hindleg,Ninth instar,TRUE
BCSB,hindleg,Female,TRUE
BLLA,hindleg,Ninth instar,TRUE
BYLH,hindleg,Female,TRUE
BZCS,hindleg,Ninth instar,TRUE
CAPF,hindleg,Tenth instar,TRUE
CAXC,hindleg,Eighth instar,TRUE
CBMA,hindleg,Female,TRUE
CBRE,hindleg,Eighth instar,TRUE
CCQV,hindleg,Female,TRUE
CGRD,hindleg,Eighth instar,TRUE
CHCF,hindleg,Female,TRUE
CPWC,hindleg,Female,TRUE
CTFK,hindleg,Tenth instar,TRUE
CVHB,hindleg,Female,TRUE
CVLU,hindleg,Eighth instar,TRUE
CVQJ,hindleg,Female,TRUE
CWPJ,hindleg,Ninth instar,TRUE
CWRT,hindleg,Eighth instar,TRUE
DESX,hindleg,Female,TRUE
DFDF,hindleg,Ninth instar,TRUE
DFME,hindleg,Eighth instar,TRUE
DJFZ,hindleg,Tenth instar,TRUE
DNHH,hindleg,Tenth instar,TRUE
DOCI,hindleg,Ninth instar,TRUE
DQAS,hindleg,Eighth instar,TRUE
DQAV,hindleg,Eighth instar,TRUE
DSPJ,hindleg,Eighth instar,TRUE
DUFU,hindleg,Ninth instar,TRUE
DYFV,hindleg,Tenth instar,TRUE
EAXA,hindleg,Ninth instar,TRUE
EAXN,hindleg,Eighth instar,TRUE
ECHF,hindleg,Ninth instar,TRUE
ECJN,hindleg,Tenth instar,TRUE
ECOO,hindleg,Ninth instar,TRUE
EDIK,hindleg,Eighth instar,TRUE
EFLR,hindleg,Ninth instar,TRUE
EJSA,hindleg,Ninth instar,TRUE
EMIY,hindleg,Female,TRUE
EMMR,hindleg,Tenth instar,TRUE
EWKB,hindleg,Ninth instar,TRUE
EXFC,hindleg,Eighth instar,TRUE
FDUO,hindleg,Female,TRUE
FFVD,hindleg,Female,TRUE
FHEO,hindleg,Female,TRUE
FJIV,hindleg,Ninth instar,TRUE
FKWM,hindleg,Eighth instar,TRUE
FLUS,hindleg,Female,TRUE
FRAY,hindleg,Female,TRUE
FRKH,hindleg,Female,TRUE
FXZS,hindleg,Ninth instar,TRUE
FYEF,hindleg,Female,TRUE
FZRV,hindleg,Female,TRUE
GDWH,hindleg,Tenth instar,TRUE
GLXO,hindleg,Female,TRUE
GMLX,hindleg,Eighth instar,TRUE
GRAC,hindleg,Ninth instar,TRUE
GRRD,hindleg,Female,TRUE
GVKA,hindleg,Eighth instar,TRUE
