trait_1,trait_2,correlation,group,trait_set
Linearized ear,Linearized ear,1,Ninth instar,five_non_head_traits
Eye,Linearized ear,0.1562526352103031,Ninth instar,five_non_head_traits
Foreleg,Eye,0.3704832168860884,Ninth instar,five_non_head_traits
Midleg,Eye,0.400555333874104,Ninth instar,five_non_head_traits
Hindleg,Eye,0.45958435242510687,Ninth instar,five_non_head_traits
Linearized ear,Eye,0.1562526352103031,Ninth instar,five_non_head_traits
Eye,Eye,1,Ninth instar,five_non_head_traits
Foreleg,Foreleg,1,Tenth instar,five_non_head_traits
Midleg,Foreleg,0.8561658913514335,Tenth instar,five_non_head_traits
Hindleg,Foreleg,0.5858595162943604,Tenth instar,five_non_head_traits
Linearized ear,Foreleg,0.6870234084857969,Tenth instar,five_non_head_traits
Eye,Foreleg,0.3552638544935637,Tenth instar,five_non_head_traits
Foreleg,Midleg,0.8561658913514335,Tenth instar,five_non_head_traits
Midleg,Midleg,1,Tenth instar,five_non_head_traits
Hindleg,Midleg,0.6668399522863808,Tenth instar,five_non_head_traits
Linearized ear,Midleg,0.5152507858858343,Tenth instar,five_non_head_traits
Eye,Midleg,0.3536963958339968,Tenth instar,five_non_head_traits
Foreleg,Hindleg,0.5858595162943604,Tenth instar,five_non_head_traits
Midleg,Hindleg,0.6668399522863808,Tenth instar,five_non_head_traits
Hindleg,Hindleg,1,Tenth instar,five_non_head_traits
Linearized ear,Hindleg,0.3894775638005634,Tenth instar,five_non_head_traits
Eye,Hindleg,0.41292254708183157,Tenth instar,five_non_head_traits
Foreleg,Linearized ear,0.6870234084857969,Tenth instar,five_non_head_traits
Midleg,Linearized ear,0.5152507858858343,Tenth instar,five_non_head_traits
Hindleg,Linearized ear,0.3894775638005634,Tenth instar,five_non_head_traits
Linearized ear,Linearized ear,1,Tenth instar,five_non_head_traits
Eye,Linearized ear,0.4022897757719496,Tenth instar,five_non_head_traits
Foreleg,Eye,0.3552638544935637,Tenth instar,five_non_head_traits
Midleg,Eye,0.3536963958339968,Tenth instar,five_non_head_traits
Hindleg,Eye,0.41292254708183157,Tenth instar,five_non_head_traits
Linearized ear,Eye,0.4022897757719496,Tenth instar,five_non_head_traits
Eye,Eye,1,Tenth instar,five_non_head_traits
