ID,pronotum,head_length,head_width,forefemur,foretibia,ear,midfemur,midtibia,hindfemur,hindtibia,eye,measurement_round
NRDG,6.317,15.519,8.79,11.633500000000002,12.2105,2.6905,10.8765,12.039,16.353,18.058,2.5835,2
ONAU,7.322,11.316,7.065,11.4715,12.789000000000001,3.018,11.3125,12.432,19.053,20.5445,2.3265000000000002,2
PIKP,7.55,25.553,12.758,13.477,14.362,2.9775,12.4795,13.8885,19.07,21.636000000000003,3.0205,2
PTRO,7.26,11.727,7.32,11.846,12.1655,2.783,11.345,12.2845,18.890500000000003,19.866999999999997,2.5115,2
PZMO,5.896,14.25,7.945,10.3825,11.251999999999999,2.158,9.907,10.739,15.475,16.517,2.3475,2
QDVU,7.615,12.067,7.97,12.116,13.052,3.1500000000000004,11.879999999999999,13.0415,19.489,21.351999999999997,2.2885,2
QRKY,7.64,11.779,7.648,11.376999999999999,12.1125,2.8395,11.665500000000002,12.4275,20.117,20.2785,2.5655,2
QSRM,6.973,22.79,11.242,13.0605,13.3285,3.141,11.971499999999999,12.9345,18.1475,20.1115,2.7715,2
RDRL,6.703,17.446,9.366,11.862,12.4515,2.5825,11.114,11.812999999999999,17.404,17.5075,2.734,2
SEVZ,8.303,13.684,8.86,13.513,14.296,3.458,12.8085,13.8965,21.6495,24.4875,2.8145,2
SMVB,6.784,17.931,9.517,11.9905,12.6325,2.6535,10.8805,12.368500000000001,15.436,16.262999999999998,2.6995,2
SMXT,5.674,12.121,7.84,10.45,10.7375,2.1285,9.6715,10.439,15.4405,16.048,2.2795,2
TKSH,7.113,21.336,11.177,13.401,13.467500000000001,2.6745,12.118500000000001,13.795,19.647,21.9995,3.117,2
UKOQ,7.432,26.861,12.849,13.781500000000001,14.415,3.4915000000000003,12.675,14.1435,19.496000000000002,21.683999999999997,3.1455,2
UNBX,6.42,16.343,9.172,11.353000000000002,12.6415,2.529,10.7395,11.992,16.4095,18.176499999999997,2.6645000000000003,2
UQVJ,6.564,19.991,10.337,12.224499999999999,12.2965,2.5854999999999997,10.932,12.593,17.2735,19.326,2.626,2
UWVR,7.436,12.558,7.832,11.712,12.4705,2.791,11.4955,12.528,19.2715,21.094,2.4545000000000003,2
UYSP,7.909,26.418,12.534,13.907,14.287,3.349,12.7375,13.8005,19.6075,21.036,3.3645,2
VFPH,7.373,24.094,12.364,13.508500000000002,13.6985,3.082,12.545,13.846499999999999,20.019,20.6345,3.106,2
WHVM,7.308,25.073,12.198,13.755500000000001,14.422,3.393,12.334,13.514,18.8985,20.072000000000003,3.1165000000000003,2
WJST,8.009,12.445,7.776,12.487,13.1495,3.63,11.9405,12.767,19.924999999999997,21.584,2.7925,2
WWFJ,6.648,15.323,8.81,10.873,11.736,2.417,10.239,11.2455,16.3645,16.764499999999998,2.388,2
XQBJ,7.043,25.253,12.732,13.443999999999999,13.622499999999999,3.108,12.278500000000001,13.2665,20.502499999999998,21.325499999999998,3.1820000000000004,2
XWCJ,6.12,15.977,8.574,11.799,12.702,2.814,11.0585,12.0495,16.4105,17.421,2.489,2
YNZS,7.757,13.632,8.643,12.578,13.473500000000001,3.0484999999999998,12.433,13.357500000000002,20.817999999999998,22.936500000000002,2.7315,2
YRUH,8.03,12.743,8.046,,,,12.299,13.561,20.5075,22.682000000000002,2.6254999999999997,2
YZUH,6.303,14.942,8.159,10.6665,11.446,2.043,10.136,11.379,16.4115,16.868,2.4115,2
ZFXN,6.991,20.668,10.731,12.844000000000001,13.857,3.4829999999999997,,,18.299500000000002,20.533,2.7235,2
JUJH,,22.401,11.285,12.847000000000001,13.9575,3.573,12.001999999999999,13.3875,18.8555,20.697,2.9585,2
CVQJ,7.106,11.087,7.303,11.350999999999999,11.806000000000001,2.7560000000000002,11.275,12.1955,18.753500000000003,18.136499999999998,2.234,3
DOCI,6.634,19.184,10.663,12.1405,12.9585,2.9285,11.632000000000001,12.8065,18.0455,21.167499999999997,2.757,3
DYFV,7.61,25.87,12.651,13.964500000000001,14.866,4.117,12.873999999999999,14.68,20.503,22.610999999999997,3.283,3
ECJN,7.22,24.642,12.183,13.1055,13.516,3.4675000000000002,12.3285,13.213999999999999,19.6515,21.228,3.0815,3
EWKB,6.356,18.88,10.109,11.383,11.8465,2.3289999999999997,10.4885,11.226500000000001,17.1345,18.0245,2.567,3
GLXO,8.294,13.351,8.416,13.325,14.029,3.4625000000000004,12.5175,13.6715,22.346,23.6555,2.7359999999999998,3
GWYL,5.853,16.784,8.925,10.8655,11.585,2.325,10.468,11.7155,16.4175,18.213500000000003,2.7205,3
HDZC,6.97,26.187,12.54,14.1075,14.221499999999999,3.28,12.745000000000001,13.994,19.088,21.7805,3.25,3
HNUV,6.223,14.272,7.919,10.350999999999999,11.174499999999998,2.4495,9.686,10.95,15.6735,16.637999999999998,2.412,3
ILNB,7.922,28.543,13.431,14.847,15.1795,4.071,13.527000000000001,14.9655,22.122,23.127000000000002,3.3665000000000003,3
JDYH,6.746,19.733,10.206,11.743500000000001,12.7635,2.841,11.002,12.354,17.466,19.0955,2.845,3
JUCL,6.794,19.704,10.728,12.397,12.582,3.15,11.844999999999999,12.600999999999999,18.886000000000003,19.9585,2.718,3
JXVQ,7.543,24.464,11.811,12.9505,14.018,2.9305,12.144,13.7685,18.6435,20.889499999999998,2.895,3
LAZJ,6.92,23.001,11.601,12.207,12.5215,2.5575,11.2385,12.231000000000002,18.7335,20.039,2.989,3
LLJC,7.615,26.899,13.173,13.5735,14.6585,3.8979999999999997,13.119,14.1385,18.938499999999998,21.366500000000002,3.2275,3
LRSS,7.267,21.902,11.376,13.2545,13.5855,3.2355,12.348,13.394,20.016,21.3795,2.6465,3
LUXM,8,12.729,8.364,12.562000000000001,13.5405,2.875,12.2555,13.7665,20.1055,22.447499999999998,2.762,3
MJSX,6.594,13.07,8.112,10.312999999999999,11.077,2.4385000000000003,10.079999999999998,10.971499999999999,16.0885,18.346,2.3125,3
MUVY,7.311,25.956,12.633,13.488,14.030000000000001,3.101,12.527000000000001,14.1275,19.738500000000002,21.966,3.106,3
NRDG,6.338,15.567,8.838,11.493,12.114999999999998,2.532,10.7555,11.9345,16.447000000000003,18.034,2.5575,3
ONAU,7.36,11.342,7.096,11.600999999999999,12.679,2.9565,11.376000000000001,12.452,19.1005,20.503999999999998,2.3200000000000003,3
PIKP,7.594,25.671,12.753,13.472999999999999,14.229,2.9365,12.447,13.918,18.9095,21.6065,3.0585,3
PTRO,7.316,11.761,7.407,11.834,11.939,2.55,11.313500000000001,12.273499999999999,18.9115,19.718,2.575,3
PZMO,5.916,14.329,7.992,10.469999999999999,11.1765,2.2125,10.0095,10.77,15.579,16.613500000000002,2.3659999999999997,3
QDVU,7.593,12.169,7.989,12.0225,12.943999999999999,3.047,11.8355,13.002,19.476,21.3315,2.282,3
QRKY,7.741,11.72,7.804,11.3705,12.0815,2.776,11.5565,12.2715,19.671999999999997,20.361,2.5940000000000003,3
QSRM,7.029,22.816,11.286,13.01,13.199,3.208,11.975999999999999,12.9535,18.139499999999998,20.338,2.775,3
RDRL,6.849,17.479,9.393,11.765,12.4455,2.534,11.068999999999999,12.004999999999999,17.423,17.374,2.7270000000000003,3
SEVZ,8.386,13.742,8.867,13.432,14.297,3.509,12.863,13.844999999999999,21.6225,24.481,2.8150000000000004,3
SMVB,6.79,17.996,9.569,11.872,12.550999999999998,2.62,10.9485,12.349499999999999,15.4155,16.321,2.751,3
SMXT,5.676,12.163,7.9,10.4115,10.8355,1.9925,9.6395,10.474,15.369,16.061,2.305,3
TKSH,7.116,21.436,11.239,13.3695,13.501,2.7560000000000002,12.212,13.809000000000001,19.636499999999998,22.016,3.1109999999999998,3
UKOQ,7.406,26.96,12.908,13.7005,14.340499999999999,3.4265,12.719000000000001,14.149000000000001,19.604,21.654,3.1425,3
UNBX,6.405,16.388,9.172,11.428,12.491,2.5475,10.75,11.999500000000001,16.3935,18.189500000000002,2.6885000000000003,3
UQVJ,6.607,20.005,10.385,12.1385,12.235,2.7015,10.927,12.637,17.33,19.2335,2.605,3
UWVR,7.519,12.535,7.883,11.95,12.364,2.8049999999999997,11.466999999999999,12.5535,19.063499999999998,21.369,2.4699999999999998,3
UYSP,7.93,26.488,12.616,13.974499999999999,14.0555,3.673,12.663,13.814499999999999,19.374000000000002,20.996000000000002,3.3865,3
VFPH,7.378,24.152,12.394,13.536000000000001,13.6205,3.1174999999999997,12.5415,13.84,19.9745,20.6795,3.1285,3
WHVM,7.326,25.118,12.254,13.6975,14.336,3.2969999999999997,12.347,13.5485,18.9095,19.7895,3.0205,3
WJST,8.082,12.517,7.799,12.581,12.8695,3.4305,11.9345,12.79,19.8945,21.622999999999998,2.8354999999999997,3
WWFJ,6.674,15.366,8.838,10.843,11.6695,2.384,10.244,11.202,16.2215,16.774,2.3289999999999997,3
XQBJ,7.065,25.314,12.744,13.367,13.592500000000001,2.9855,12.2405,13.2895,20.483,21.363500000000002,3.132,3
XWCJ,6.129,16.03,8.614,11.777,12.297,2.624,11.006499999999999,12.027000000000001,16.381999999999998,17.4185,2.3884999999999996,3
YNZS,7.867,13.712,8.668,12.6415,13.363,2.9675000000000002,12.442,13.3695,20.8415,23.0985,2.6814999999999998,3
YRUH,8.038,12.728,8.027,12.3,13.105,3.1734999999999998,12.271,13.594000000000001,20.487499999999997,22.662999999999997,2.5695,3
YZUH,6.307,15.038,8.159,10.7085,11.426,1.9115,10.071,11.343,16.676000000000002,16.843,2.407,3
ZFXN,6.997,20.596,10.754,12.636,14.027000000000001,3.339,11.741,13.42,18.347,20.7785,2.669,3
JUJH,,22.471,11.302,12.748,13.886500000000002,3.46,12.183499999999999,13.599499999999999,18.987000000000002,20.7135,2.9844999999999997,3
